comparison_id,source_segment_id,transition_a,transition_b,status
C000000,10_full,T000032,T000048,unlabeled
C000001,10_full,T000010,T000019,unlabeled
C000002,1193_full,T003166,T003111,unlabeled
C000003,1193_full,T003102,T003077,unlabeled
C000004,1195_full,T003201,T003189,unlabeled
C000005,1195_full,T003205,T003199,unlabeled
C000006,1196_full,T003344,T003340,unlabeled
C000007,1196_full,T003364,T003302,unlabeled
C000008,1197_full,T003452,T003408,unlabeled
C000009,1197_full,T003369,T003374,unlabeled
C000010,140_full,T000159,T000107,unlabeled
C000011,140_full,T000178,T000104,unlabeled
C000012,141_full,T000209,T000278,unlabeled
C000013,141_full,T000202,T000199,unlabeled
C000014,1544_full,T003552,T003479,unlabeled
C000015,1544_full,T003525,T003547,unlabeled
C000016,1642_full,T003569,T003591,unlabeled
C000017,1642_full,T003661,T003567,unlabeled
C000018,1644_full,T003711,T003695,unlabeled
C000019,1644_full,T003737,T003696,unlabeled
C000020,1649_full,T003849,T003800,unlabeled
C000021,1649_full,T003794,T003832,unlabeled
C000022,1661_full,T003908,T003898,unlabeled
C000023,1661_full,T003907,T003910,unlabeled
C000024,1663_full,T003976,T004030,unlabeled
C000025,1663_full,T004001,T004029,unlabeled
C000026,1666_full,T004119,T004100,unlabeled
C000027,1666_full,T004075,T004125,unlabeled
C000028,1701_full,T004256,T004225,unlabeled
C000029,1701_full,T004201,T004256,unlabeled
C000030,1702_full,T004355,T004265,unlabeled
C000031,1702_full,T004299,T004349,unlabeled
C000032,1703_full,T004375,T004374,unlabeled
C000033,1703_full,T004375,T004364,unlabeled
C000034,1704_full,T004468,T004459,unlabeled
C000035,1704_full,T004508,T004517,unlabeled
C000036,1893_full,T004640,T004563,unlabeled
C000037,1893_full,T004571,T004614,unlabeled
C000038,190_full,T000299,T000323,unlabeled
C000039,190_full,T000359,T000301,unlabeled
C000040,1924_full,T004729,T004686,unlabeled
C000041,1924_full,T004674,T004686,unlabeled
C000042,1925_full,T004849,T004765,unlabeled
C000043,1925_full,T004755,T004825,unlabeled
C000044,193_full,T000458,T000493,unlabeled
C000045,193_full,T000476,T000458,unlabeled
C000046,194_full,T000506,T000521,unlabeled
C000047,194_full,T000592,T000501,unlabeled
C000048,197_full,T000595,T000654,unlabeled
C000049,197_full,T000681,T000683,unlabeled
C000050,200_full,T000773,T000697,unlabeled
C000051,200_full,T000738,T000695,unlabeled
C000052,203_full,T000797,T000879,unlabeled
C000053,203_full,T000798,T000833,unlabeled
C000054,204_full,T000971,T000988,unlabeled
C000055,204_full,T000955,T000903,unlabeled
C000056,207_full,T000996,T001071,unlabeled
C000057,207_full,T001076,T001053,unlabeled
C000058,2097_full,T004908,T004883,unlabeled
C000059,2097_full,T004871,T004943,unlabeled
C000060,2099_full,T005034,T004965,unlabeled
C000061,2099_full,T005009,T004974,unlabeled
C000062,210_full,T001168,T001100,unlabeled
C000063,210_full,T001108,T001168,unlabeled
C000064,211_full,T001197,T001193,unlabeled
C000065,211_full,T001200,T001214,unlabeled
C000066,212_full,T001291,T001292,unlabeled
C000067,212_full,T001364,T001322,unlabeled
C000068,213_full,T001445,T001394,unlabeled
C000069,213_full,T001442,T001394,unlabeled
C000070,3263_full,T005052,T005095,unlabeled
C000071,3263_full,T005062,T005128,unlabeled
C000072,3264_full,T005174,T005150,unlabeled
C000073,3264_full,T005219,T005221,unlabeled
C000074,3265_full,T005251,T005298,unlabeled
C000075,3265_full,T005260,T005256,unlabeled
C000076,3266_full,T005426,T005407,unlabeled
C000077,3266_full,T005398,T005363,unlabeled
C000078,3270_full,T005453,T005455,unlabeled
C000079,3270_full,T005543,T005455,unlabeled
C000080,3271_full,T005642,T005552,unlabeled
C000081,3271_full,T005552,T005626,unlabeled
C000082,3272_full,T005684,T005736,unlabeled
C000083,3272_full,T005702,T005721,unlabeled
C000084,3273_full,T005829,T005805,unlabeled
C000085,3273_full,T005748,T005821,unlabeled
C000086,3274_full,T005847,T005896,unlabeled
C000087,3274_full,T005860,T005929,unlabeled
C000088,3532_full,T006024,T006028,unlabeled
C000089,3532_full,T005997,T006007,unlabeled
C000090,3533_full,T006104,T006132,unlabeled
C000091,3533_full,T006104,T006047,unlabeled
C000092,3534_full,T006140,T006167,unlabeled
C000093,3534_full,T006192,T006228,unlabeled
C000094,3535_full,T006254,T006334,unlabeled
C000095,3535_full,T006240,T006238,unlabeled
C000096,3537_full,T006380,T006422,unlabeled
C000097,3537_full,T006392,T006344,unlabeled
C000098,3538_full,T006517,T006441,unlabeled
C000099,3538_full,T006436,T006517,unlabeled
