track_id,title,artist,subset,split,genre_top,path,duration
10,Freeway,Kurt Vile,small,training,Pop,data/raw/fma_small/000/000010.mp3,29.976575963718822
140,Queen Of The Wires,Alec K. Redfearn & the Eyesores,small,training,Folk,data/raw/fma_small/000/000140.mp3,29.976575963718822
141,Ohio,Alec K. Redfearn & the Eyesores,small,training,Folk,data/raw/fma_small/000/000141.mp3,29.976575963718822
190,Castle Of Stars,Ed Askew,small,training,Folk,data/raw/fma_small/000/000190.mp3,30.00269841269841
193,Here With You,Ed Askew,small,training,Folk,data/raw/fma_small/000/000193.mp3,29.976575963718822
194,All I want to Do,Ed Askew,small,training,Folk,data/raw/fma_small/000/000194.mp3,30.00269841269841
197,Piano 2,Ed Askew,small,training,Folk,data/raw/fma_small/000/000197.mp3,29.976575963718822
200,Baby Come Home,Ed Askew,small,training,Folk,data/raw/fma_small/000/000200.mp3,29.976575963718822
203,Song For R,Ed Askew,small,training,Folk,data/raw/fma_small/000/000203.mp3,29.976575963718822
204,My Dream,Ed Askew,small,training,Folk,data/raw/fma_small/000/000204.mp3,29.976575963718822
207,Piano 3,Ed Askew,small,training,Folk,data/raw/fma_small/000/000207.mp3,29.976575963718822
210,In the French Court,Ed Askew,small,training,Folk,data/raw/fma_small/000/000210.mp3,30.00269841269841
211,In America,Ed Askew,small,training,Folk,data/raw/fma_small/000/000211.mp3,29.976575963718822
212,When I Arive,Ed Askew,small,training,Folk,data/raw/fma_small/000/000212.mp3,29.976575963718822
213,Boute,Au,small,training,Pop,data/raw/fma_small/000/000213.mp3,29.976575963718822
534,I Can See You,Charles Manson,small,training,Folk,data/raw/fma_small/000/000534.mp3,29.976575963718822
540,The Black Pirate,Charles Manson,small,training,Folk,data/raw/fma_small/000/000540.mp3,29.976575963718822
546,If You Have No One,Charles Manson,small,training,Folk,data/raw/fma_small/000/000546.mp3,29.976575963718822
602,Disappearing,Dora Bleu,small,validation,Folk,data/raw/fma_small/000/000602.mp3,29.976575963718822
620,Arabesque,Ed Askew,small,training,Folk,data/raw/fma_small/000/000620.mp3,29.976575963718822
621,Blue Eyed Baby,Ed Askew,small,training,Folk,data/raw/fma_small/000/000621.mp3,29.976575963718822
625,Climbing To The Top,Ed Askew,small,training,Folk,data/raw/fma_small/000/000625.mp3,30.00269841269841
714,Circle Moon,Fursaxa,small,training,Folk,data/raw/fma_small/000/000714.mp3,29.976575963718822
715,Kokopelli,Fursaxa,small,training,Folk,data/raw/fma_small/000/000715.mp3,29.976575963718822
716,Saxalainen,Fursaxa,small,training,Folk,data/raw/fma_small/000/000716.mp3,29.976575963718822
718,Song Of The Spindle Berry,Fursaxa,small,training,Folk,data/raw/fma_small/000/000718.mp3,30.00269841269841
814,Motion Passings,Hall Of Fame,small,training,Folk,data/raw/fma_small/000/000814.mp3,29.976575963718822
821,Sir,Hecuba,small,training,Pop,data/raw/fma_small/000/000821.mp3,30.00269841269841
822,Tom & Jerry,Hecuba,small,training,Pop,data/raw/fma_small/000/000822.mp3,29.976575963718822
890,Softly Tomorrow,Ilyas Ahmed,small,test,Folk,data/raw/fma_small/000/000890.mp3,29.976575963718822
892,Phantom Sky,Ilyas Ahmed,small,test,Folk,data/raw/fma_small/000/000892.mp3,29.976575963718822
1193,Wooly Mammoth's Absence,Mount Eerie,small,training,Folk,data/raw/fma_small/001/001193.mp3,30.00269841269841
